iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
237	-0.3874229361	0.792124024	0.06199021207	0.3607937462	0.3102310231
238	-0.3872993052	0.7922136713	0.05882352941	0.3607937462	0.3150955834
239	-0.3871406445	0.792124024	0.06199021207	0.3616636528	0.314680711
240	-0.3870110277	0.792303339	0.06199021207	0.3641826923	0.3139841689
241	-0.3869480173	0.7922136713	0.06199021207	0.3631990379	0.3139841689
242	-0.3868161035	0.7923930269	0.05872756933	0.3633093525	0.3132848645
243	-0.386682786	0.792303339	0.05872756933	0.3610108303	0.3148880105
244	-0.3864815087	0.792303339	0.05882352941	0.3636363636	0.3144736842
245	-0.3863539405	0.7923930269	0.05882352941	0.3655006031	0.3162729659
246	-0.3862375168	0.792303339	0.05882352941	0.3647342995	0.3186885246
247	-0.3861218265	0.7924827352	0.05882352941	0.3657211829	0.3224115334
248	-0.3859861526	0.7926622127	0.05882352941	0.3674698795	0.3213114754
249	-0.3857587205	0.7928417714	0.05872756933	0.3674698795	0.3237221494
250	-0.3856159866	0.7929315813	0.05872756933	0.3694344164	0.3252459016
251	-0.3855094539	0.7929315813	0.05872756933	0.3694344164	0.3252459016
252	-0.3853600398	0.7932910245	0.05872756933	0.3701923077	0.326129666
253	-0.3852527491	0.7932441623	0.05872756933	0.36996997	0.3259162304
254	-0.3850794866	0.7935103245	0.06178861789	0.3698384201	0.3272251309
255	-0.384927867	0.7934203063	0.06178861789	0.368641532	0.3287491814
256	-0.3848547386	0.7936003631	0.06504065041	0.3715651135	0.3276539974
257	-0.3847382716	0.7937372362	0.06504065041	0.3718712753	0.3234714004
258	-0.3846219539	0.7938706016	0.06188925081	0.3744782349	0.3274394237
259	-0.3842969463	0.7941877625	0.06188925081	0.3738095238	0.326557377
260	-0.3841904081	0.794548552	0.06188925081	0.3738095238	0.3296272073
261	-0.3839894935	0.7948193592	0.06188925081	0.3772915435	0.328731098
262	-0.3838403903	0.7950437649	0.06504065041	0.3796570077	0.3331147541
263	-0.3837531705	0.7949533985	0.06504065041	0.3789224393	0.3328964613
264	-0.3836330555	0.7949533985	0.06504065041	0.3752969121	0.3331156107
265	-0.3835537887	0.7947727273	0.06504065041	0.3755199049	0.3346405229
266	-0.3833863217	0.7951341519	0.06504065041	0.3793716657	0.3294117647
267	-0.3832591818	0.7952245594	0.06504065041	0.3795359905	0.3344176968
268	-0.3831148767	0.7951341519	0.06504065041	0.3790849673	0.3311603651
269	-0.382989592	0.7951341519	0.06504065041	0.3781212842	0.3309446254
270	-0.3829215631	0.7952245594	0.06493506494	0.377672209	0.3313763862
