iter	MultiClassOneVsAll	MultiClassOneVsAll
552	-0.3567277301	-0.3567277301
553	-0.3566343062	-0.3566343062
554	-0.3565396224	-0.3565396224
555	-0.356491237	-0.356491237
556	-0.3564123689	-0.3564123689
557	-0.3563521851	-0.3563521851
558	-0.3562672182	-0.3562672182
559	-0.3562074219	-0.3562074219
560	-0.3561111958	-0.3561111958
561	-0.3560562087	-0.3560562087
562	-0.3559566567	-0.3559566567
563	-0.3559064657	-0.3559064657
564	-0.355820484	-0.355820484
565	-0.3557513405	-0.3557513405
566	-0.355644761	-0.355644761
567	-0.3555603436	-0.3555603436
568	-0.3554474582	-0.3554474582
569	-0.3553578137	-0.3553578137
570	-0.3552916827	-0.3552916827
571	-0.3552396816	-0.3552396816
572	-0.355148226	-0.355148226
573	-0.3550682133	-0.3550682133
574	-0.3550137902	-0.3550137902
575	-0.3549548593	-0.3549548593
576	-0.3548928208	-0.3548928208
577	-0.3548004666	-0.3548004666
578	-0.3547253289	-0.3547253289
579	-0.3546313355	-0.3546313355
580	-0.3545414276	-0.3545414276
581	-0.3544626351	-0.3544626351
582	-0.3543996974	-0.3543996974
583	-0.3543150369	-0.3543150369
584	-0.3542129782	-0.3542129782
585	-0.3541689509	-0.3541689509
586	-0.3541053493	-0.3541053493
587	-0.3540375783	-0.3540375783
588	-0.3539633707	-0.3539633707
589	-0.3538605442	-0.3538605442
590	-0.3537781031	-0.3537781031
591	-0.3536731925	-0.3536731925
592	-0.353617186	-0.353617186
593	-0.3535038378	-0.3535038378
594	-0.3534732855	-0.3534732855
595	-0.35341624	-0.35341624
596	-0.3533270068	-0.3533270068
597	-0.3532805442	-0.3532805442
598	-0.3531555395	-0.3531555395
599	-0.3531005667	-0.3531005667
600	-0.3530544261	-0.3530544261
601	-0.3529759164	-0.3529759164
602	-0.3529011676	-0.3529011676
603	-0.3527776146	-0.3527776146
604	-0.3526930399	-0.3526930399
605	-0.3525997915	-0.3525997915
606	-0.3525416532	-0.3525416532
607	-0.35245057	-0.35245057
608	-0.3523935538	-0.3523935538
609	-0.3523294789	-0.3523294789
610	-0.3522533597	-0.3522533597
611	-0.3521487203	-0.3521487203
612	-0.3520936242	-0.3520936242
613	-0.3520297141	-0.3520297141
614	-0.3518923224	-0.3518923224
615	-0.3517986448	-0.3517986448
616	-0.3517398626	-0.3517398626
617	-0.3516784678	-0.3516784678
618	-0.3515775855	-0.3515775855
619	-0.3515302199	-0.3515302199
620	-0.3514573159	-0.3514573159
621	-0.3513667829	-0.3513667829
622	-0.3512573448	-0.3512573448
623	-0.3511732028	-0.3511732028
624	-0.351104023	-0.351104023
625	-0.3510372697	-0.3510372697
626	-0.3509651969	-0.3509651969
627	-0.3508636253	-0.3508636253
628	-0.3507162509	-0.3507162509
629	-0.3506680928	-0.3506680928
630	-0.3506121618	-0.3506121618
631	-0.350503164	-0.350503164
632	-0.350464227	-0.350464227
633	-0.3503419639	-0.3503419639
634	-0.3502414191	-0.3502414191
635	-0.3501087682	-0.3501087682
636	-0.3499999714	-0.3499999714
637	-0.349867667	-0.349867667
638	-0.3497964169	-0.3497964169
639	-0.3497533085	-0.3497533085
640	-0.3496775222	-0.3496775222
641	-0.3496090433	-0.3496090433
642	-0.3495457787	-0.3495457787
643	-0.3494356266	-0.3494356266
644	-0.3493543905	-0.3493543905
645	-0.349294311	-0.349294311
646	-0.3492366336	-0.3492366336
647	-0.3491287384	-0.3491287384
648	-0.3490701737	-0.3490701737
649	-0.3489893425	-0.3489893425
650	-0.3489076054	-0.3489076054
651	-0.3488328244	-0.3488328244
652	-0.3487833407	-0.3487833407
653	-0.3487158704	-0.3487158704
654	-0.3486061905	-0.3486061905
655	-0.3485360297	-0.3485360297
656	-0.3484688139	-0.3484688139
657	-0.3483910663	-0.3483910663
658	-0.3483149227	-0.3483149227
